architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
four_layer,relu,0.0001,0.3,64,1e-05,128,64,0.8937410712242126,0.4659203290939331,32.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,128,64,0.8969757556915283,0.4620473384857178,32.0,16.0
three_layer,relu,0.0001,0.3,64,0.001,128,32,0.8978138566017151,0.4610416293144226,32.0,
four_layer,relu,0.0005,0.3,64,0.001,64,32,0.8983473777770996,0.46040087938308716,16.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,64,64,0.9003238677978516,0.45802390575408936,16.0,
four_layer,relu,0.0001,0.3,32,0.001,128,64,0.9039731621742249,0.45362138748168945,16.0,16.0
four_layer,relu,0.0001,0.1,64,1e-05,64,64,0.906342089176178,0.45075392723083496,16.0,16.0
three_layer,relu,0.0001,0.3,64,1e-05,128,32,0.9073073267936707,0.4495834708213806,32.0,
four_layer,relu,0.0001,0.3,32,0.001,64,64,0.9077701568603516,0.4490218162536621,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,128,64,0.908041775226593,0.4486920237541199,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,128,64,0.9086524844169617,0.44795018434524536,16.0,16.0
three_layer,relu,0.0001,0.1,64,0.001,64,64,0.9090209007263184,0.4475024342536926,16.0,
three_layer,relu,0.0001,0.3,32,0.001,64,32,0.912173330783844,0.4436637759208679,16.0,
three_layer,relu,0.0001,0.3,64,0.001,64,32,0.9219176769256592,0.4317140579223633,32.0,
four_layer,relu,0.0001,0.3,32,1e-05,64,64,0.9222042560577393,0.43136066198349,32.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,128,32,0.9242333173751831,0.42885565757751465,32.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,64,64,0.926152229309082,0.42648154497146606,32.0,16.0
four_layer,relu,0.0001,0.1,64,0.0001,64,64,0.9317435622215271,0.4195358157157898,16.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,64,32,0.9322924017906189,0.4188517928123474,16.0,
four_layer,relu,0.0001,0.3,64,0.0001,64,64,0.9354878067970276,0.41486120223999023,16.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,128,64,0.9392803311347961,0.41010719537734985,32.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,128,64,0.9429369568824768,0.40550535917282104,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,128,64,0.943682074546814,0.40456539392471313,16.0,16.0
four_layer,relu,0.0001,0.3,32,1e-05,128,32,0.9497742652893066,0.39685261249542236,16.0,16.0
four_layer,relu,0.0001,0.3,32,1e-05,64,64,0.9503153562545776,0.39616525173187256,16.0,16.0
three_layer,relu,0.0001,0.3,64,0.001,64,32,0.950615406036377,0.39578384160995483,16.0,
four_layer,relu,0.0001,0.3,32,1e-05,128,64,0.9527681469917297,0.3930441737174988,16.0,16.0
three_layer,relu,0.0001,0.3,64,0.0001,128,32,0.953502893447876,0.39210766553878784,16.0,
four_layer,relu,0.0001,0.3,64,0.0001,128,32,0.9584242105484009,0.38581645488739014,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,64,32,0.9584729671478271,0.38575392961502075,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,128,32,0.9591653347015381,0.38486623764038086,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,64,32,0.9638954997062683,0.3787841200828552,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,64,32,0.9657684564590454,0.37636762857437134,16.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,64,64,0.9676340818405151,0.3739559054374695,32.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,128,32,0.9701897501945496,0.37064456939697266,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,64,32,0.9746606349945068,0.3648306727409363,32.0,16.0
four_layer,relu,0.0001,0.3,32,1e-05,64,32,0.9780526757240295,0.3604019284248352,32.0,16.0
two_layer,relu,0.0001,0.3,64,1e-05,64,64,0.978614866733551,0.35966646671295166,,
four_layer,relu,0.0001,0.3,32,0.0001,128,32,0.9896633625030518,0.34512627124786377,32.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,64,64,0.9934676289558411,0.34008193016052246,16.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,64,64,0.9949308037757874,0.33813655376434326,32.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,128,32,0.9979428648948669,0.33412307500839233,16.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,128,32,1.0055159330368042,0.32397836446762085,32.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,64,64,1.0181918144226074,0.306826651096344,16.0,16.0
four_layer,relu,0.0001,0.3,32,1e-05,64,32,1.0229532718658447,0.30032849311828613,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,128,32,1.0525857210159302,0.25920581817626953,16.0,16.0
